,name,first_name,last_name,new_price,above_100
0,William Dixon,William,Dixon,109.03727963458523,true
1,Kristen Horn,Kristen,Horn,262.52465219225206,true
2,Kimberly Chang,Kimberly,Chang,187.00725827774068,true
3,Mary Ball,Mary,Ball,283.17464763656955,true
4,Benjamin Craig,Benjamin,Craig,143.8715816881791,true
5,Cathy Werner,Cathy,Werner,61.508991352851325,false
6,Brandon Bell,Brandon,Bell,48.63730910375835,false
7,Paul Farley,Paul,Farley,12.389464788592939,false
8,Sarah Mcdaniel,Sarah,Mcdaniel,151.59544716874203,true
9,Caroline Anderson,Caroline,Anderson,75.62152102993683,false
10,Carl Jones,Carl,Jones,147.02940469082753,true
11,Scott Lee,Scott,Lee,244.18565270607758,true
12,Kaylee Coleman,Kaylee,Coleman,17.864270321996845,false
13,Charles Parker,Charles,Parker,215.53728302426862,true
14,Susan Hess,Susan,Hess,38.359970628717974,false
15,Kiara Collier,Kiara,Collier,204.18254858412087,true
16,Mr. Scott Martinez,Mr.,Scott Martinez,165.8514289408149,true
17,Christopher Ortega,Christopher,Ortega,30.301445064472407,false
18,Michael Russell,Michael,Russell,243.17249105103508,true
19,Dwayne Johnson,Dwayne,Johnson,287.4932856123935,true
20,Patty Smith,Patty,Smith,180.23442574473592,true
21,Deanna Sherman,Deanna,Sherman,99.79911841562617,false
22,Douglas Francis,Douglas,Francis,161.76889080563518,true
23,Vicki Diaz,Vicki,Diaz,18.649876721417435,false
24,Robin Phillips,Robin,Phillips,244.91198356198336,true
25,Travis Rice,Travis,Rice,141.4988254107795,true
26,Ashley Rocha,Ashley,Rocha,50.00303730985961,false
27,Sarah Jacobson,Sarah,Jacobson,80.48182457363063,false
28,Kayla Shannon,Kayla,Shannon,98.91531394497848,false
29,Sean Wang DDS,Sean,Wang DDS,220.62821774950515,true
30,Richard Estrada,Richard,Estrada,49.16869151205603,false
31,Joseph Torres,Joseph,Torres,150.12378419766594,true
32,Kim Jones,Kim,Jones,18.84343770225838,false
33,Melissa Tanner,Melissa,Tanner,269.18402994297986,true
34,Jackson Cline,Jackson,Cline,64.31251721074351,false
35,Sonya Foster,Sonya,Foster,296.2155012166741,true
36,Allen Williams,Allen,Williams,15.390831703593,false
37,Mr. Thomas Rivera,Mr.,Thomas Rivera,95.22843715592121,false
38,Jamie Silva,Jamie,Silva,296.82440753934657,true
39,Kathleen Moore,Kathleen,Moore,92.50052419128963,false
40,Evelyn Pineda,Evelyn,Pineda,169.22892925664138,true
41,Kyle Peters,Kyle,Peters,106.7990952132163,true
42,Anthony Cruz,Anthony,Cruz,49.101998173197686,false
43,Eric Flores,Eric,Flores,122.95569856549317,true
44,Anna Richardson,Anna,Richardson,254.49526058922797,true
45,Gary Harper,Gary,Harper,47.59652591777343,false
46,Linda Johnson,Linda,Johnson,115.36278154605293,true
47,Melissa Smith,Melissa,Smith,87.97994845806541,false
48,Kristen Floyd,Kristen,Floyd,135.02304134412356,true
49,William Diaz,William,Diaz,192.14913546689587,true
50,Benjamin Smith,Benjamin,Smith,134.90529389051355,true
51,David Glenn,David,Glenn,216.29104632060702,true
52,Dawn Jones,Dawn,Jones,271.6144998802729,true
53,Joel Smith,Joel,Smith,14.494919799933415,false
54,Mr. Larry Grimes MD,Mr.,Larry Grimes MD,268.6758682473656,true
55,Joseph Arnold,Joseph,Arnold,121.7750468474434,true
56,Kyle Long,Kyle,Long,241.6216391420153,true
57,Brittany Day,Brittany,Day,261.54605742206627,true
58,Bobby Ward,Bobby,Ward,63.51303580081721,false
59,Thomas Lee,Thomas,Lee,254.07557711297557,true
60,Jennifer Hansen,Jennifer,Hansen,101.48873523428664,true
61,Lisa Murray,Lisa,Murray,176.09191738609584,true
62,Meghan Wade,Meghan,Wade,273.23034094310503,true
63,Tammie Brooks,Tammie,Brooks,84.88856949195045,false
64,Maria Bell,Maria,Bell,264.07466519472524,true
65,Allison Livingston,Allison,Livingston,130.34844264841078,true
66,Chris Hays,Chris,Hays,17.342763790337447,false
67,Courtney Mitchell,Courtney,Mitchell,78.93257699026059,false
68,Shawn White,Shawn,White,188.02192560020146,true
69,Taylor Gomez,Taylor,Gomez,225.01982371477402,true
70,Jeremy Rodriguez,Jeremy,Rodriguez,200.72482076620912,true
71,April Garcia,April,Garcia,66.24555967130416,false
72,Zachary Watts,Zachary,Watts,15.497387859732205,false
73,Sarah Montoya,Sarah,Montoya,206.82125465342602,true
74,Jennifer Barker,Jennifer,Barker,89.18615989096851,false
75,Sharon Garza,Sharon,Garza,72.3577270367147,false
76,Tiffany Stevens,Tiffany,Stevens,196.3793220138052,true
77,Ruben Armstrong,Ruben,Armstrong,93.69836737933716,false
78,Dr. Jeffrey Spencer,Dr.,Jeffrey Spencer,271.16228201716683,true
79,Nicole Ramsey,Nicole,Ramsey,247.85960710449834,true
80,Anne Roy,Anne,Roy,277.93248205609933,true
81,Lori Sanchez,Lori,Sanchez,285.6616404970253,true
82,Allison Chavez,Allison,Chavez,126.85021100807128,true
83,Marcus Adams,Marcus,Adams,36.470408936676726,false
84,Mary Smith,Mary,Smith,16.315071974183017,false
85,Joseph Reed,Joseph,Reed,178.45767424473252,true
86,Jason Armstrong,Jason,Armstrong,26.045257464740853,false
87,Jeff Armstrong,Jeff,Armstrong,88.47561283959318,false
88,Sean Shields,Sean,Shields,247.83952552279044,true
89,Jessica Allison,Jessica,Allison,104.7423079789625,true
90,Christian Grant,Christian,Grant,99.11707916707049,false
91,Edward Watson,Edward,Watson,180.35355894236386,true
92,Derrick Cooke,Derrick,Cooke,142.09011596094248,true
93,Arthur Hall MD,Arthur,Hall MD,235.96697489958774,true
94,Sean Patrick,Sean,Patrick,139.45079943481065,true
95,Heather Collins,Heather,Collins,127.39257340710478,true
96,Megan Gomez,Megan,Gomez,107.86244506859772,true
97,William Hale,William,Hale,114.67092535958612,true
98,Olivia Thompson,Olivia,Thompson,8.608441013604939,false
99,Lori Torres,Lori,Torres,18.858274333009923,false
100,Vickie Hernandez,Vickie,Hernandez,214.93218067750684,true
101,Kimberly Brown,Kimberly,Brown,40.31993270151361,false
102,Sherry Meza,Sherry,Meza,182.8545498809053,true
103,Phillip Hansen,Phillip,Hansen,44.116117044254466,false
104,Jeanette Knight,Jeanette,Knight,28.686943288269372,false
105,Kayla Hanson,Kayla,Hanson,27.63036397054156,false
106,James Johnston,James,Johnston,284.42905543555884,true
107,Dr. John Porter,Dr.,John Porter,53.72799273817649,false
108,Elizabeth Reyes,Elizabeth,Reyes,93.6807568419092,false
109,Kristen Henry,Kristen,Henry,77.0062435699163,false
110,Claudia Anderson,Claudia,Anderson,160.34015926115842,true
111,Nicholas Webb,Nicholas,Webb,18.71038619331413,false
112,Allison Cooper,Allison,Cooper,206.04210681966842,true
113,Zachary Barnes,Zachary,Barnes,280.7741314675942,true
114,Gregory Hill III,Gregory,Hill III,265.97658083058303,true
115,Terry Ayers,Terry,Ayers,16.511638988306093,false
